OCCUPATION,ENTRY-LEVEL EDUCATION ,ON-THE-JOB TRAINING ,PROJECTED NUMBER OF NEW JOBS ,PROJECTED GROWTH RATE ,2021 MEDIAN PAY 
Accountants and auditors,Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
Actors,"Some college, no degree",Long-term on-the-job training,"10,000 to 49,999",Much faster than average,The annual wage is not available.
Actuaries,Bachelor’s degree,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$80,000 or more"
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",Master’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
Adhesive bonding machine operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
"Administrative law judges, adjudicators, and hearing officers",Doctoral or professional degree,Short-term on-the-job training,0 to 999,Little or no change,"$80,000 or more"
Administrative services and facilities managers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Adult basic education, adult secondary education, and English as a Second Language instructors",Bachelor’s degree,None,Declining,Decline,"$40,000 to $59,999"
Advertising and promotions managers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Advertising sales agents,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$80,000 or more"
Aerospace engineering and operations technologists and technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Aerospace engineers,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
"Agents and business managers of artists, performers, and athletes",Bachelor’s degree,None,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
Agricultural and food science technicians,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Agricultural engineers,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
Agricultural equipment operators,No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
Agricultural inspectors,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Agricultural sciences teachers, postsecondary",Doctoral or professional degree,None,0 to 999,Slower than average,"$80,000 or more"
"Agricultural workers, all other",No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Air traffic controllers,Associate’s degree,Long-term on-the-job training,0 to 999,Slower than average,"$80,000 or more"
Aircraft cargo handling supervisors,High school diploma or equivalent,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Aircraft mechanics and service technicians,Postsecondary nondegree award,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"Aircraft service attendants and transportation workers, all other",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
"Aircraft structure, surfaces, rigging, and systems assemblers",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Airfield operations specialists,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"Airline pilots, copilots, and flight engineers",Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$80,000 or more"
"Ambulance drivers and attendants, except emergency medical technicians",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"Less than $30,000"
Amusement and recreation attendants,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Anesthesiologists,Doctoral or professional degree,Internship/residency,Declining,Little or no change,"$80,000 or more"
Animal breeders,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Animal caretakers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Animal control workers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Animal scientists,Bachelor’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
Animal trainers,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
Anthropologists and archeologists,Master’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
"Anthropology and archeology teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
"Arbitrators, mediators, and conciliators",Bachelor’s degree,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
"Architects, except landscape and naval",Bachelor’s degree,Internship/residency,"1,000 to 4,999",Slower than average,"$80,000 or more"
Architectural and civil drafters,Associate’s degree,None,Declining,Little or no change,"$60,000 to $79,999"
Architectural and engineering managers,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$80,000 or more"
