Industry Sector,"Employment, 2010","Employment, 2020","Employment, 2030","Employment change, ","Employment change,","Percent distribution, 2010","Percent distribution, 2020","Percent distribution, 2030","Compound annual rate of change, 2010–20","Compound annual rate of change, 2020–30"
Mining,654.8,573.1,671.3,-81.7,98.2,0.5,0.4,0.4,-1.3,1.6
Construction,5518.3,7269.4,7584.4,1751.1,315,3.9,4.7,4.6,2.8,0.4
Manufacturing,11529.1,12179.1,12322.8,650,143.7,8.1,7.9,7.4,0.5,0.1
Utilities,552.8,541.9,502.9,-10.9,-39,0.4,0.4,0.3,-0.2,-0.7
Wholesale trade,5386.6,5639.8,5780.8,253.2,141,3.8,3.7,3.5,0.5,0.2
Retail trade,14446.3,14853.1,14266.3,406.8,-586.8,10.2,9.7,8.6,0.3,-0.4
Transportation and warehousing,4179.2,5555.1,6189.2,1375.9,634.1,2.9,3.6,3.7,2.9,1.1
Information,2707.2,2694.4,2977.2,-12.8,282.8,1.9,1.8,1.8,0,1
Financial activities,7694.8,8723.7,9027.1,1028.9,303.4,5.4,5.7,5.5,1.3,0.3
Professional and business services,16782.9,20245.7,22265.6,3462.8,2019.9,11.8,13.2,13.5,1.9,1
Educational services,3155.1,3459.4,3983.6,304.3,524.2,2.2,2.3,2.4,0.9,1.4
Health care and social assistance,16820,19776.2,23092.6,2956.2,3316.4,11.9,12.9,14,1.6,1.6
Leisure and hospitality,13048.7,13326.7,16566.3,278,3239.6,9.2,8.7,10,0.2,2.2
Other services,5997.7,6048.8,6804.9,51.1,756.1,4.2,3.9,4.1,0.1,1.2
Federal government,2977,2929,2860.9,-48,-68.1,2.1,1.9,1.7,-0.2,-0.2
State and local government,19513.5,18979.8,19797.1,-533.7,817.3,13.7,12.4,12,-0.3,0.4
"Agriculture, forestry, fishing, and hunting",2102.9,2241.3,2296.3,138.4,55,1.5,1.5,1.4,0.6,0.2
Nonagriculture self-employed,8859.8,8497.3,8424.3,-362.5,-73,6.2,5.5,5.1,-0.4,-0.1
